id,nome,calorias,proteinas,carboidratos,quantidade_base,Categoria
1134," Mamão verde, doce em calda, dredo",209.376,0.316667,57.6367,100,"Frutas e derivados"
1135," Mamão, doce em calda, dredo",195.627,0.19375,54.0036,100,"Frutas e derivados"
1136,"Abacate, cru",96.1547,1.23913,6.03087,100,"Frutas e derivados"
1137,"Abacaxi, cru",48.3222,0.858696,12.3346,100,"Frutas e derivados"
1138,"Abacaxi, polpa, congelada",30.5918,0.466667,7.79867,100,"Frutas e derivados"
1139,"Abadejo, filé, congelado, assado",111.616,23.525,0,100,"Pescados e frutos do mar"
1140,"Abadejo, filé, congelado, cru",59.113,13.0833,0,100,"Pescados e frutos do mar"
1141,"Abadejo, filé, congelado, grelhado",129.644,27.6104,0,100,"Pescados e frutos do mar"
1142,"Abadejo, filé, congelado,cozido",91.1035,19.3458,0,100,"Pescados e frutos do mar"
1143,"Abiu, cru",62.4241,0.833333,14.927,100,"Frutas e derivados"
1144,"Abóbora, cabotian, cozida",48.0437,1.44375,10.7609,100,"Verduras, hortaliças e derivados"
1145,"Abóbora, cabotian, crua",38.5993,1.74638,8.36029,100,"Verduras, hortaliças e derivados"
1146,"Abóbora, menina brasileira, crua",13.6057,0.608696,3.3013,100,"Verduras, hortaliças e derivados"
1147,"Abóbora, moranga, crua",12.3644,0.960145,2.66652,100,"Verduras, hortaliças e derivados"
1148,"Abóbora, moranga, refogada",29.0038,0.39375,5.98192,100,"Verduras, hortaliças e derivados"
1149,"Abóbora, pescoço, crua",24.4663,0.670833,6.12283,100,"Verduras, hortaliças e derivados"
1150,"Abobrinha, italia, cozida",15.0385,1.125,2.977,100,"Verduras, hortaliças e derivados"
1151,"Abobrinha, italia, crua",19.2791,1.1413,4.29203,100,"Verduras, hortaliças e derivados"
1152,"Abobrinha, italia, refogada",24.4296,1.06875,4.18692,100,"Verduras, hortaliças e derivados"
1153,"Abobrinha, paulista, crua",30.8107,0.639583,7.86742,100,"Verduras, hortaliças e derivados"
1154,"Açaí, polpa, com xarope de guaraná e glucose",110.298,0.720833,21.4552,100,"Frutas e derivados"
1155,"Açaí, polpa, congelada",58.0454,0.797917,6.20842,100,"Frutas e derivados"
1156,Acarajé,289.212,8.34583,19.1138,100,"Alimentos preparados"
1157,"Acelga, crua",20.9423,1.44375,4.63092,100,"Verduras, hortaliças e derivados"
1158,"Acerola, crua",33.4623,0.90625,7.96642,100,"Frutas e derivados"
1159,"Acerola, polpa, congelada",21.9368,0.591667,5.54133,100,"Frutas e derivados"
